gene_id	OTA	MCPD	TCP	Ctrl
ENSRNOG00000054626	692.994504934072	464.230793965055	764.892055894177	502.963272051851
ENSRNOG00000005975	623.49418646822	485.888980146216	821.995798466717	483.810366809099
ENSRNOG00000001991	499.489673850166	550.231735537253	759.119755929317	598.458472656499
ENSRNOG00000008103	458.617103972497	603.76943107811	662.823964445945	665.262597573573
ENSRNOG00000012142	187.64138624871	550.775564366888	998.990727547995	637.724323215219
ENSRNOG00000011138	525.219626601086	624.753289718216	630.551653321943	583.867195894226
ENSRNOG00000047321	582.609151519613	551.797064712077	360.262282357306	868.426937603531
ENSRNOG00000003960	495.615112334972	555.402442380916	719.487903530141	589.358726462572
ENSRNOG00000052802	753.031820931611	503.94085008035	636.194003538298	465.693671411326
ENSRNOG00000018816	640.489223880817	599.771983713552	472.111013878203	640.600837352577
ENSRNOG00000018964	320.99974231636	630.297703162132	708.333777297475	678.946066321773
ENSRNOG00000015320	696.470793745597	599.266706521814	464.5714153015	568.204088978126
ENSRNOG00000005512	627.462211719549	539.248807729292	546.353248519196	611.773681745119
ENSRNOG00000003232	484.779180562212	699.942165669416	401.919700586035	722.073834525945
ENSRNOG00000019834	595.635904746677	518.517159514725	580.279575895009	589.509652883662
ENSRNOG00000014948	171.085753478909	717.992869316132	507.339810145464	882.752714257281
ENSRNOG00000001344	666.588375579102	659.778271385617	316.505413828328	594.88607191417
ENSRNOG00000028884	549.016890239833	567.538711935171	417.421462424647	698.659436528059
ENSRNOG00000027049	740.327820174475	601.719474866995	225.609217327249	655.684169248662
ENSRNOG00000019902	413.336224811821	662.818335517578	465.132877776811	675.53355725851
ENSRNOG00000000490	721.449332318342	480.016874352942	513.804468769314	491.678761281474
ENSRNOG00000043348	641.819647295485	409.437880323515	503.852898990825	643.922551997129
ENSRNOG00000057514	494.16472750777	759.000229543085	238.171484152475	687.208194488026
ENSRNOG00000030237	530.783700918016	510.654996944575	619.220735222156	516.911254073966
ENSRNOG00000018320	618.695435273084	399.756289901664	673.102107884686	465.158519599495
ENSRNOG00000060449	648.554670679169	450.535303583005	668.649767602678	388.070171013585
ENSRNOG00000016625	361.708619789296	564.191702296313	434.409963734238	780.923606155608
ENSRNOG00000060098	649.055343243396	597.451642363273	231.31916196317	659.150353020391
ENSRNOG00000018795	682.041313972597	431.52040029949	583.911891887677	435.139107196593
ENSRNOG00000048878	512.69338730836	564.491278789225	477.095361882337	576.827027853665
ENSRNOG00000020982	713.587545655943	554.067698871608	661.957574835588	188.260167157723
ENSRNOG00000018774	809.392208966476	490.574735266946	342.803861675063	473.672137635921
ENSRNOG00000017597	537.657677539389	637.048917601423	395.988837237783	545.091683208721
ENSRNOG00000028319	319.527034196516	665.010776947145	434.681403678301	684.76044131341
ENSRNOG00000008364	396.407144634744	576.548050748618	565.747171542833	560.329030058472
ENSRNOG00000002671	665.137725240221	506.820403915857	369.632281672053	541.567009487204
ENSRNOG00000019578	771.158781455346	446.785764220204	319.902980637277	522.542235893371
ENSRNOG00000008555	538.069595296125	511.883875738359	514.144259417167	486.977369435461
ENSRNOG00000008837	475.459034371538	675.109246448628	324.053567990742	551.618968838894
ENSRNOG00000001242	141.542848998422	542.929165565087	891.425532646846	438.629696096142
ENSRNOG00000007393	474.141692861412	794.439137768887	230.135062111551	500.234630705727
ENSRNOG00000019453	449.273753106839	378.023415738536	772.856953052537	385.264444429572
ENSRNOG00000047931	811.711128793818	433.909691950048	297.10845691441	435.978484871313
ENSRNOG00000017417	537.174327617725	494.23270760945	436.417533583174	505.853974371412
ENSRNOG00000016478	463.724505985642	494.90365844476	531.250858218723	479.044641561901
ENSRNOG00000039473	381.053742464102	403.409115146538	688.331395914436	446.875751189541
ENSRNOG00000008289	449.4527225317	426.355074929823	602.238722166059	396.483915883047
ENSRNOG00000014610	464.885872740684	513.194764880106	253.213966013168	637.700108053103
ENSRNOG00000011893	491.602084474085	423.523732736689	457.444421903335	496.419362760577
ENSRNOG00000008161	536.628477311635	524.435817518917	194.676216817818	612.157521243219
ENSRNOG00000014179	459.800180123986	363.389921638014	593.811496599904	440.42724492102
ENSRNOG00000020636	594.937811662357	403.20311197322	465.272404874899	392.771363942435
ENSRNOG00000011419	309.29480615039	433.561848473751	599.191853624256	508.317755743332
ENSRNOG00000020674	627.473735475241	444.783479248316	283.723726342094	487.317709050682
ENSRNOG00000017418	495.552858413452	374.340039045353	562.442564986412	399.668929503922
ENSRNOG00000003163	405.480627815337	435.951564061864	536.022997718088	450.987937441294
ENSRNOG00000051624	477.533135749782	371.600060122087	371.044015011737	606.401065429227
ENSRNOG00000008461	498.63465479662	600.630026608707	205.912969863716	499.719396511123
ENSRNOG00000000850	455.063081009217	522.592370053168	262.22677729404	552.906998112427
ENSRNOG00000001136	591.922433006575	454.718892824525	280.224542280431	462.502905353858
ENSRNOG00000061425	497.831182906841	449.496126317216	396.46578856237	443.309952597863
ENSRNOG00000004426	746.096832130951	393.366212877055	258.10338648866	382.376977120823
ENSRNOG00000014078	499.011431827487	428.510273086917	406.762736374416	438.438526610145
ENSRNOG00000029941	249.360695847183	565.141024021269	358.405768918787	597.295448841171
ENSRNOG00000025648	152.257420758431	539.311674688209	397.406995605762	668.809025810345
ENSRNOG00000015335	681.786830064008	444.498598667619	142.821752407261	478.363382947805
ENSRNOG00000008842	306.53010741925	294.723179638673	838.515607635515	306.20668579739
ENSRNOG00000005424	234.007734359143	454.460616609843	470.730104664413	584.590355149147
ENSRNOG00000016896	411.093068900324	287.196546167103	736.904722847149	304.773384487372
ENSRNOG00000006375	421.027840610828	447.21195695494	385.051250351567	473.700558979227
ENSRNOG00000034084	136.940457340444	550.53769961559	272.846584578279	755.652640361406
ENSRNOG00000016912	492.545027970654	453.678336662969	273.794383367055	493.530025585473
ENSRNOG00000012794	360.685696039117	535.008873474123	371.514014511777	443.993621853476
ENSRNOG00000034246	106.302426964444	262.192718509325	970.868059390917	371.096324814669
ENSRNOG00000010516	234.304230165667	416.374581737375	558.450382174995	496.595250273723
ENSRNOG00000010746	624.854593586588	388.831416222315	296.613747592846	361.134931894643
ENSRNOG00000028616	252.788871624101	641.149555498124	437.794708126657	337.477697967719
ENSRNOG00000007235	514.160137826172	355.037043077734	433.277280751572	360.883751993778
ENSRNOG00000016220	443.937688899342	331.03470603534	523.220842617516	357.335687745746
ENSRNOG00000009378	395.684938420772	330.052664328229	580.43495400682	342.791434568187
ENSRNOG00000016952	579.581600744176	461.397365322405	107.463682121203	480.948113417343
ENSRNOG00000018735	834.724000419967	353.797425307053	124.310903680397	303.472344752159
ENSRNOG00000021108	187.2456379144	517.003011903799	445.246128430104	460.093284177035
ENSRNOG00000001611	570.64246854128	321.761028455956	292.588027240924	415.484462601486
ENSRNOG00000054689	460.593118351611	340.043476391335	480.434291568284	316.063005344827
ENSRNOG00000001223	324.110622411343	370.674530707088	446.964470959861	446.226934106659
ENSRNOG00000025936	531.099756098197	347.877564957544	304.011605691317	391.729758859178
ENSRNOG00000000622	363.964595169147	403.97241227908	393.848619217712	412.927709832136
ENSRNOG00000010331	421.053692932588	400.100718563598	359.066201198459	393.12274944836
ENSRNOG00000060853	297.206366428826	495.519771952183	297.376307214183	481.970154833336
ENSRNOG00000025764	259.360726020543	437.77940264544	463.164450359986	400.415425231283
ENSRNOG00000018755	97.3118519581967	430.988332093504	497.155628168802	534.728972762948
ENSRNOG00000004107	546.778347312488	391.670626604197	220.002550352508	395.07979048561
ENSRNOG00000019854	289.966327606707	459.232387536348	353.795840907696	445.086572689693
ENSRNOG00000003029	371.781478879905	357.424324068765	328.731987349253	475.618498931674
ENSRNOG00000014525	291.385160083427	371.173867748902	449.889570637632	414.112773341084
ENSRNOG00000009845	353.225496450959	444.410862084304	250.212850107535	478.183955721163
ENSRNOG00000001338	323.179739245699	373.934534723078	479.698746762443	347.96056196598
ENSRNOG00000008047	384.45152274797	447.271959954601	198.768630690357	477.556932085974
ENSRNOG00000003620	202.632938724153	347.880346052891	530.902194801354	421.440686189943
ENSRNOG00000003220	385.464759407552	384.353112334965	348.786975149972	382.621222892385
ENSRNOG00000046316	505.53165749848	384.403217029572	310.346265016754	296.231601087897
ENSRNOG00000015205	321.363044810981	415.649707099548	281.213481921867	474.433423617335
ENSRNOG00000001440	381.912179609981	340.323621445249	374.266895529063	386.203668235033
ENSRNOG00000000186	367.455849791724	447.205990691442	314.330914057508	351.021234763492
ENSRNOG00000018281	345.374132060001	343.172871977207	396.781741340753	384.708608670889
ENSRNOG00000029501	349.170826730198	356.058247216944	404.645715862124	343.226064131035
ENSRNOG00000023529	349.078697162115	336.69314248511	374.396611641139	392.220234806875
ENSRNOG00000055314	279.222107330914	437.074609663823	287.544636851158	448.054557744424
ENSRNOG00000020994	262.773674435395	403.295599557089	424.235516149253	356.755996660516
ENSRNOG00000020595	460.557206592288	331.964848702867	232.46424552906	422.06851193373
ENSRNOG00000042111	149.807288794728	231.227003204945	779.820430373757	281.766085988044
ENSRNOG00000031263	208.366187748311	496.157136083569	219.053086263238	514.508685146299
ENSRNOG00000003307	219.600566027216	439.998905161107	332.753438245819	433.090600790506
ENSRNOG00000016411	402.162095725885	359.524713638551	318.207727215581	343.694122809162
ENSRNOG00000017123	364.118156221205	307.238531837676	375.421730862989	376.711804903572
ENSRNOG00000049162	251.924235698117	447.949364116321	174.178727849388	545.352112151296
ENSRNOG00000000096	328.469047594715	387.772985490546	328.107281956178	368.466106088023
