"","Ctrl","OTA","MCPD","TCP"
"ENSRNOG00000034084",10.1041092870063,7.89599168834217,9.75265312931712,8.63666186814011
"ENSRNOG00000016912",9.49166261489274,9.72919221333451,9.47457878555434,8.641626158801
"ENSRNOG00000012794",9.3397509111462,9.28158791710303,9.71152381032151,9.07902596495735
"ENSRNOG00000034246",9.08234965385854,7.535974180474,8.68808247919726,10.4598129997111
"ENSRNOG00000010516",9.50055719082095,8.66306759094968,9.35134944199748,9.66429067053269
"ENSRNOG00000010746",9.04331958628963,10.071350180651,9.25309313580176,8.75626416314344
"ENSRNOG00000028616",8.9461629389914,8.77181725594138,9.97174589928127,9.31462173616806
"ENSRNOG00000007235",9.04232165149101,9.79093465758016,9.12260961449428,9.29973042882735
"ENSRNOG00000016220",9.0281509900641,9.5798658331178,9.0221993422143,9.57064957267421
"ENSRNOG00000009378",8.96856244041277,9.4145673597633,9.01793848857785,9.719788920376
"ENSRNOG00000016952",9.45456717785998,9.96316343813157,9.49881447889129,7.30946939544545
"ENSRNOG00000018735",8.79394305500452,10.488092114645,9.1175914846613,7.51577872247272
"ENSRNOG00000021108",9.39089881758704,8.34236387530321,9.66231790104768,9.33885371550899
"ENSRNOG00000001611",9.24447608823693,9.94080836422838,8.98145229729405,8.73669055079825
"ENSRNOG00000054689",8.85219206808693,9.63279191087145,9.06071006765966,9.44808803738705
"ENSRNOG00000001223",9.34695529751182,9.12813600086297,9.1844573393958,9.34438447367455
"ENSRNOG00000025936",9.15998364287931,9.83754006115108,9.09338344272961,8.79155548164401
"ENSRNOG00000000622",9.23561607105867,9.29457962177211,9.30793266156912,9.16278541715847
"ENSRNOG00000010331",9.16507729162094,9.50382780297864,9.29410682091864,9.03014346071333
"ENSRNOG00000060853",9.45761632721386,9.00383206157309,9.60132512560561,8.75994210357117
"ENSRNOG00000025764",9.19145427291496,8.80858720315667,9.42333948394528,9.39551017593577
"ENSRNOG00000018755",9.60685785379508,7.41069330971186,9.40088599936434,9.49723286414755
"ENSRNOG00000004107",9.17220321744957,9.87937429950731,9.26353659298529,8.32876629138
"ENSRNOG00000019854",9.34328112921892,8.96846811982441,9.49205800559326,9.00893705911485
"ENSRNOG00000003029",9.43856158088652,9.32508790078606,9.13222473058465,8.90358805590768
"ENSRNOG00000014525",9.2397294850843,8.97546703453723,9.18638923639086,9.3537508770435
"ENSRNOG00000009845",9.44628818402852,9.25158569637754,9.4449330915797,8.51273543300073
"ENSRNOG00000001338",8.99002365156487,9.12400928290521,9.19702360818932,9.44588731539667
"ENSRNOG00000008047",9.44440354144739,9.3732067875148,9.45415062199002,8.18380901696528
"ENSRNOG00000003620",9.2649078129144,8.4552624130467,9.09339491134852,9.59159127473982
"ENSRNOG00000003220",9.12622637015173,9.37698648322745,9.23646538743609,8.98848976473739
"ENSRNOG00000046316",8.75934778072133,9.76660378539015,9.23665248807477,8.82110354956301
"ENSRNOG00000015205",9.43497836843865,9.11592149893898,9.3488474789035,8.67990605646578
"ENSRNOG00000001440",9.13959771497848,9.36369049206547,9.06189130668984,9.08961645467844
"ENSRNOG00000000186",9.00258210209387,9.30828531736719,9.45393875233982,8.83938461837226
"ENSRNOG00000018281",9.13403252039558,9.21932164710762,9.07385062389307,9.1734326338102
"ENSRNOG00000029501",8.9703792817504,9.23501373201864,9.12673050597509,9.20159702729372
"ENSRNOG00000023529",9.16177918309876,9.23463496577454,9.04650783498469,9.09011356713732
"ENSRNOG00000055314",9.35282433277753,8.9143365668306,9.42102539454439,8.7117880925068
"ENSRNOG00000020994",9.02582246808703,8.8273194378721,9.30552529609968,9.26945522748809
"ENSRNOG00000020595",9.26704469142578,9.63267985732469,9.02622344677682,8.40751520797767
"ENSRNOG00000042111",8.6876455638951,8.02395060551972,8.50820410434598,10.1444510154087
"ENSRNOG00000031263",9.55146896150769,8.49516715068103,9.60317227003102,8.32258637423448
"ENSRNOG00000003307",9.30405313273381,8.57029877338853,9.43060275506496,8.92101785417008
"ENSRNOG00000016411",8.97233330831986,9.43788764507297,9.14063168017525,8.85695135011903
"ENSRNOG00000017123",9.10389521411087,9.29518520526737,8.91523655853317,9.09403612846804
"ENSRNOG00000049162",9.63512722395041,8.76690904653842,9.45632440334707,7.99543906654383
"ENSRNOG00000000096",9.07214626144084,9.14730194711116,9.24918048777365,8.90086145696336
"ENSRNOG00000005195",8.87820092277007,9.793815656119,8.95723359187904,8.54242980531194
"ENSRNOG00000003975",9.0048256203915,9.68220576696111,9.25286322030228,8.12402088797044
"ENSRNOG00000027503",9.20879122927416,9.1949395586451,8.94268965677247,8.96892691057822
